gene_id;gene_symbol;gene_description;baseMean;log2FoldChange;lfcSE;pvalue;padj
ENSG00000165125;TRPV6;transient receptor potential cation channel subfamily V member 6;3,40108178967132e+01;1,88730359081285e+00;0,1015186514469573;6,35181103634199e-62;1,40430814228385e-61
ENSG00000274364;ENSG00000274364;ENSG00000274364;2,98320002692428e+00;1,88723535085461e+00;0,1169597027761612;1,23200651841665e-59;2,68405494401170e-59
ENSG00000227882;ENSG00000227882;ENSG00000227882;1,69374121474099e-01;1,88721009434102e+00;0,4834383492391736;4,27066579221609e-03;4,91791148738281e-03
ENSG00000253567;ENSG00000253567;ENSG00000253567;5,01148798609126e-01;1,88695880043295e+00;0,2008305438360819;1,07825538372926e-20;1,70590485277557e-20
ENSG00000222594;RN7SKP235;RN7SK pseudogene 235;5,96829614474365e-01;1,88673542424995e+00;0,2355968667298321;1,73759211569724e-15;2,57563917472270e-15
ENSG00000251002;TRD-AS1;TRD antisense RNA 1;1,49195967227051e+01;1,88666539244250e+00;0,0909311053473748;1,10772138013988e-84;2,77829886758982e-84
ENSG00000236502;SIX3-AS1;SIX3 antisense RNA 1;2,58164592143495e-01;1,88663151494429e+00;0,3243603900857105;6,68750442241069e-07;8,57637919658716e-07
ENSG00000236058;RPL17P36;ribosomal protein L17 pseudogene 36;1,40781314001652e+01;1,88661607432013e+00;0,0549176200061836;3,72273245557713e-260;1,87789292503113e-259
ENSG00000059377;TBXAS1;thromboxane A synthase 1;9,14534757228711e+02;1,88632518072148e+00;0,0507493828366386;3,35373584544392e-303;1,97292796896927e-302
ENSG00000259345;LOC105370777;uncharacterized LOC105370777;2,84982309146471e+01;1,88627410598591e+00;0,0728965071850310;6,22300110785744e-148;2,07885555258477e-147
ENSG00000153060;TEKT5;tektin 5;1,27570743972261e+01;1,88566642244733e+00;0,0906977551054025;2,50612096102180e-97;6,70752944847358e-97
ENSG00000172164;SNTB1;syntrophin beta 1;1,59520023915021e+03;1,88553532296692e+00;0,0368117813850976;0,00000000000000e+00;0,00000000000000e+00
ENSG00000287066;ENSG00000287066;ENSG00000287066;3,11412257833892e-01;1,88526932448394e+00;0,3733614882771421;6,98898222008890e-03;7,98156416802946e-03
ENSG00000168062;BATF2;basic leucine zipper ATF-like transcription factor 2;9,38743783305670e+02;1,88490492776161e+00;0,0458902041468879;0,00000000000000e+00;0,00000000000000e+00
ENSG00000167580;AQP2;aquaporin 2;1,93414042940624e+00;1,88449049967755e+00;0,1363327854568767;5,81312143177322e-44;1,13812432280892e-43
ENSG00000213309;RPL9P18;ribosomal protein L9 pseudogene 18;3,67960719704296e+00;1,88407806264135e+00;0,0742031463361709;1,64896963058554e-143;5,41137498478255e-143
ENSG00000151023;ENKUR;enkurin, TRPC channel interacting protein;1,94975438601356e+01;1,88401255786800e+00;0,0712701047721926;1,43878063996286e-154;4,94389254781739e-154
ENSG00000270874;ENSG00000270874;ENSG00000270874;2,07402994318814e+00;1,88363984998837e+00;0,1751474794517153;5,72563945153168e-10;7,80240540843285e-10
ENSG00000233589;DEPDC1-AS2;DEPDC1 antisense RNA 2;4,20970698811382e+00;1,88361643400922e+00;0,1302892696686055;4,76448351808644e-40;9,06158094497876e-40
ENSG00000260582;TPST2P1;tyrosylprotein sulfotransferase 2 pseudogene 1;3,54101806721317e-01;1,88359365553769e+00;0,3286821535233078;5,71970290273473e-06;7,18231059276280e-06
ENSG00000215270;ENSG00000215270;ENSG00000215270;4,47674673992981e+00;1,88352847877727e+00;0,0994227023269507;1,05349460903891e-80;2,58332560098886e-80
ENSG00000240002;ENSG00000240002;ENSG00000240002;8,63885368885249e-01;1,88309290915650e+00;0,2499102692170394;1,60032216780416e-12;2,27600489797187e-12
ENSG00000279985;ENSG00000279985;ENSG00000279985;2,11100839833605e+00;1,88282153302369e+00;0,1608232090660161;1,01254802078120e-07;1,32189454539236e-07
ENSG00000244630;RPS26P27;ribosomal protein S26 pseudogene 27;6,71949184703580e-01;1,88269534266512e+00;0,2277002078558428;7,63826455546375e-18;1,16619333291936e-17
ENSG00000264169;RN7SL665P;RNA, 7SL, cytoplasmic 665, pseudogene;2,80513144409445e+00;1,88242462446621e+00;0,1229768765177938;2,33163303180746e-02;2,60280006623508e-02
ENSG00000229918;ENSG00000229918;ENSG00000229918;9,18886901245361e-01;1,88223443527004e+00;0,2040025075581197;1,70527410018542e-15;2,52820254226097e-15
ENSG00000149043;SYT8;synaptotagmin 8;6,53630715881888e+01;1,88212904689379e+00;0,1063748844057460;1,10716767183135e-70;2,57296992448076e-70
ENSG00000227615;ENSG00000227615;ENSG00000227615;2,83942655676743e+02;1,88169388248336e+00;0,0430387501768859;0,00000000000000e+00;0,00000000000000e+00
ENSG00000252777;LOC124904809;small Cajal body-specific RNA 24;2,28785116611708e-01;1,88147190120650e+00;0,3003492820438049;3,89639119156646e-07;5,02333543350579e-07
ENSG00000104689;TNFRSF10A;TNF receptor superfamily member 10a;5,28692263952267e+02;1,88093926340679e+00;0,0454011310466620;0,00000000000000e+00;0,00000000000000e+00
ENSG00000253500;ENSG00000253500;ENSG00000253500;2,96473597502565e-01;1,88088062591502e+00;0,3759196929343925;9,73862639637962e-04;1,14928549503126e-03
ENSG00000127152;BCL11B;BCL11 transcription factor B;3,82785955078973e+02;1,88085361279810e+00;0,0766751094143561;1,71611122259731e-133;5,40296761415497e-133
ENSG00000132437;DDC;dopa decarboxylase;1,75509922279163e+03;1,87909591177235e+00;0,1221543125735977;6,90410608753326e-54;1,44934409900314e-53
ENSG00000236762;ENSG00000236762;ENSG00000236762;5,42513135963349e+00;1,87861589631990e+00;0,0721841865692709;2,94434101944679e-153;1,00688105125524e-152
ENSG00000118705;RPN2;ribophorin II;1,46508760812690e+04;1,87860353505076e+00;0,0237817304727648;0,00000000000000e+00;0,00000000000000e+00
ENSG00000287630;ENSG00000287630;ENSG00000287630;1,38780785480069e+00;1,87802506668322e+00;0,1998966263191107;1,22742255717683e-17;1,87014666181866e-17
ENSG00000235143;ENSG00000235143;ENSG00000235143;2,99531320376818e-01;1,87712394004238e+00;0,3054881174670742;1,32974252635015e-01;1,42207785632158e-01
ENSG00000188375;H3-5;H3.5 histone;1,57632838472135e+01;1,87706169942685e+00;0,0616787078094096;3,92083371477294e-208;1,64486664663073e-207
ENSG00000186231;KLHL32;kelch like family member 32;6,57268075722747e+01;1,87700334484328e+00;0,0675452572152380;1,57637060518627e-170;5,77011943768969e-170
ENSG00000101464;PIGU;phosphatidylinositol glycan anchor biosynthesis class U;1,57952778860162e+03;1,87648907183799e+00;0,0317058239420260;0,00000000000000e+00;0,00000000000000e+00
ENSG00000228073;ENSG00000228073;ENSG00000228073;1,36302701741611e+00;1,87599445521287e+00;0,1739413294702586;7,06159908774682e-04;8,37512687441020e-04
ENSG00000231916;ENSG00000231916;ENSG00000231916;2,07927139040464e+00;1,87544026023536e+00;0,1185861077823784;3,13107639666852e-58;6,76792383471416e-58
ENSG00000164256;PRDM9;PR/SET domain 9;3,35548387240766e-01;1,87497330925807e+00;0,3963685267542073;1,08482749753418e-03;1,27816435675832e-03
ENSG00000275302;CCL4;C-C motif chemokine ligand 4;1,84389562244976e+02;1,87488951509225e+00;0,0726863398366311;2,34460999246445e-147;7,81412931160742e-147
ENSG00000182240;BACE2;beta-secretase 2;5,20662075485888e+03;1,87468502218599e+00;0,0321316328175970;0,00000000000000e+00;0,00000000000000e+00
ENSG00000129474;AJUBA;ajuba LIM protein;6,90614779352894e+02;1,87412488237951e+00;0,0368745242141920;0,00000000000000e+00;0,00000000000000e+00
ENSG00000176920;FUT2;fucosyltransferase 2 (H blood group);1,52940432712382e+03;1,87356747042328e+00;0,0886651188207776;6,81169230467084e-100;1,84584862540596e-99
ENSG00000213430;ENSG00000213430;ENSG00000213430;1,90681639715364e+01;1,87316813174325e+00;0,0537635322810058;2,69452223031345e-266;1,39043743576115e-265
ENSG00000254126;CD8B2;CD8B family member 2;1,25695424212074e+01;1,87291018926910e+00;0,0937283428089185;2,07541824288559e-89;5,32733304201611e-89
ENSG00000240418;RPS2P51;ribosomal protein S2 pseudogene 51;4,25570153885724e+00;1,87262649888142e+00;0,0730892321196024;3,68706199091494e-148;1,23283245653423e-147
ENSG00000274373;ENSG00000274373;ENSG00000274373;9,77276320536623e+00;1,87251332230535e+00;0,0885213818421266;1,40957598423824e-100;3,83138366575446e-100
ENSG00000184076;UQCR10;ubiquinol-cytochrome c reductase, complex III subunit X;8,54200752157184e+02;1,87247638468970e+00;0,0339964367145840;0,00000000000000e+00;0,00000000000000e+00
ENSG00000147592;LACTB2;lactamase beta 2;6,11159877467381e+02;1,87212463593094e+00;0,0367448638317336;0,00000000000000e+00;0,00000000000000e+00
ENSG00000089327;FXYD5;FXYD domain containing ion transport regulator 5;3,41407050168410e+03;1,87210976809318e+00;0,0399564424319169;0,00000000000000e+00;0,00000000000000e+00
ENSG00000034510;TMSB10;thymosin beta 10;3,96054462104652e+04;1,87205324517132e+00;0,0393165409654797;0,00000000000000e+00;0,00000000000000e+00
ENSG00000099721;AMELY;amelogenin Y-linked;2,41957078679557e-01;1,87185022761164e+00;0,4245540669975753;5,47312753588141e-04;6,51397613678059e-04
ENSG00000107018;RLN1;relaxin 1;3,90868989009641e+00;1,87184667320392e+00;0,0905406860661287;3,37855020675102e-95;8,94498395574372e-95
ENSG00000227242;ENSG00000227242;ENSG00000227242;9,72676640302753e-01;1,87172706357150e+00;0,1483831279163179;4,06966657432150e-37;7,55018572165393e-37
ENSG00000285201;ENSG00000285201;ENSG00000285201;1,10815604020710e-01;1,87100010459187e+00;0,6097214908038830;3,46098228048452e-02;3,82759797247523e-02
ENSG00000261431;ENSG00000261431;ENSG00000261431;2,46651179302156e+00;1,87071313195862e+00;0,0924956576514685;5,22644763458592e-94;1,37491598290274e-93
ENSG00000264444;ENSG00000264444;ENSG00000264444;2,58910626559832e-01;1,87050432723638e+00;0,3909399410611892;1,86750908375483e-02;2,09363906222333e-02
ENSG00000103534;TMC5;transmembrane channel like 5;2,46667833738498e+03;1,87033659667502e+00;0,1086383246993467;5,01717493942279e-67;1,14210563152890e-66
ENSG00000226247;ENSG00000226247;ENSG00000226247;1,67618298114683e+00;1,87012259442393e+00;0,1241342171237513;1,73635851385247e-53;3,63189684544281e-53
ENSG00000250081;ENSG00000250081;ENSG00000250081;4,23291689706331e+00;1,86994617285655e+00;0,1017697611577954;1,37643779322166e-75;3,28657288612541e-75
ENSG00000271543;ENSG00000271543;ENSG00000271543;6,56682471937532e-01;1,86978569324789e+00;0,1639269345160317;6,37192493121377e-32;1,13024028326647e-31
ENSG00000127831;VIL1;villin 1;9,93745318517056e+03;1,86967070007903e+00;0,1176223709894151;9,76136019115754e-58;2,10369698564431e-57
