gene_id;gene_symbol;PC1;PC2;PC3;PC4
ENSG00000154330;PGM5;2,68203854153257e-02;-4,84107674628282e-03;-7,27458035677354e-03;-1,01791133124057e-02
ENSG00000127241;MASP1;2,66841553436831e-02;-5,82437789846324e-03;-7,84603456505757e-03;-9,90937190229883e-03
ENSG00000166507;NDST2;2,66660803243046e-02;-2,50395568165023e-02;-6,87974015378189e-03;1,75782509902464e-02
ENSG00000145936;KCNMB1;2,65807575163443e-02;-2,27566769429275e-03;-7,91821860030950e-03;-1,55621584134631e-02
ENSG00000178127;NDUFV2;2,65687562092649e-02;-2,60751395825371e-02;4,34543668083098e-03;2,20127050557652e-02
ENSG00000147576;ADHFE1;2,63622463858589e-02;-2,10457447938887e-02;-3,08067973181560e-03;1,33876619585354e-02
ENSG00000173641;HSPB7;2,62813922081524e-02;-3,07045643643921e-03;-8,56327699604310e-03;-1,60968557063796e-02
ENSG00000104728;ARHGEF10;2,62446257846917e-02;-1,32470796203914e-02;7,66106433612491e-03;1,14509995523188e-02
ENSG00000149798;CDC42EP2;2,61503322784464e-02;-2,16582168733486e-02;-1,12680063848498e-02;1,47910537069857e-02
ENSG00000121577;POPDC2;2,61048801758112e-02;-1,65839050891308e-04;-7,02983451541317e-03;-8,24044875759681e-03
ENSG00000143570;SLC39A1;2,60871030607852e-02;-2,41123455886411e-02;-1,11640320412087e-02;1,70526905993832e-02
ENSG00000158445;KCNB1;2,60752203219852e-02;-5,33922126234684e-03;-1,41732353314050e-03;1,19915311077047e-03
ENSG00000261616;TTC23-AS1;2,60514065503113e-02;-4,16232980406768e-03;2,86221675509048e-03;3,27561358922344e-03
ENSG00000181541;MAB21L2;2,60326818722197e-02;-2,71714740952539e-03;3,18012283338177e-04;-1,20211696091010e-02
ENSG00000198523;PLN;2,60231211533893e-02;-3,44109239203545e-03;5,24467215531156e-03;-2,05778833058004e-02
ENSG00000154258;ABCA9;2,60097275385166e-02;-1,75449967637873e-02;4,96976529098212e-03;-3,99322144357457e-03
ENSG00000213246;SUPT4H1;2,55929848508363e-02;-2,28350014386095e-02;-5,82241303677812e-03;2,41450740457069e-02
ENSG00000055955;ITIH4;2,54967720429895e-02;-1,82571677124418e-02;-4,35770108338583e-03;1,05091306832771e-02
ENSG00000022267;FHL1;2,54558497842439e-02;-1,12240080746404e-02;-5,09689946698840e-03;-1,09636825775802e-02
ENSG00000182774;RPS17;2,53528074297826e-02;-2,38677886896199e-02;-7,78567928673845e-03;2,18908026646762e-02
ENSG00000106809;OGN;2,53249037639199e-02;-1,01059481479020e-02;1,00768018924495e-02;-2,25407851718648e-02
ENSG00000132522;GPS2;2,52991936568154e-02;-2,46636027954445e-02;-1,46434513929191e-02;1,93163520821883e-02
ENSG00000213977;TAX1BP3;2,52420706684978e-02;-3,13425985837617e-02;-2,30487443533490e-02;1,97531375471222e-02
ENSG00000198917;SPOUT1;2,52355805029212e-02;-2,35455301164874e-02;-1,11825092205896e-02;1,96154015435889e-02
ENSG00000100288;CHKB;2,52304608081126e-02;-2,76515404187442e-02;-8,43722857184312e-03;2,19410482919715e-02
ENSG00000170153;RNF150;2,51842548966850e-02;-3,10164534788261e-03;4,27215719867361e-03;-1,55510231686635e-02
ENSG00000278224;PRICKLE4;2,51580972437599e-02;-2,64461237942202e-02;-5,18377826671987e-03;1,86220490106662e-02
ENSG00000101335;MYL9;2,51380406452758e-02;2,08236109393533e-03;-1,30136257612045e-02;-1,70772753164944e-02
ENSG00000123349;PFDN5;2,51264929110705e-02;-1,99529846799420e-02;-3,18918445452225e-03;1,78086304225728e-02
ENSG00000106278;PTPRZ1;2,50614571216725e-02;-3,81839894293127e-03;5,48441680068855e-05;-1,32710787395013e-02
ENSG00000100359;SGSM3;2,50220743487134e-02;-2,98436830328473e-02;-1,25914656902569e-02;2,18399637641709e-02
ENSG00000254505;CHMP4A;2,49806719109257e-02;-2,11373209481468e-02;-1,88158522782950e-03;1,73786924489171e-02
ENSG00000153902;LGI4;2,49647686207308e-02;-1,49189538825152e-02;-1,19013187144356e-02;1,89278718849405e-03
ENSG00000139637;MYG1;2,48574859040600e-02;-2,03884015590981e-02;-1,56281454553904e-02;1,62293842450266e-02
ENSG00000101938;CHRDL1;2,47528505936413e-02;-1,16221567809891e-02;-2,17430234102424e-03;-2,07379828171155e-02
ENSG00000075790;BCAP29;2,47070658121854e-02;-1,98151848375073e-02;-2,84976027205198e-04;1,61091427702071e-02
ENSG00000185681;MORN5;2,46985519279999e-02;3,35048524793932e-03;-7,62541837612628e-03;-9,52591161096426e-03
ENSG00000101188;NTSR1;2,46739578028070e-02;6,32067061133202e-03;-5,03282048734650e-03;-6,53245392760657e-03
ENSG00000174483;BBS1;2,46365549610497e-02;-1,72219133337702e-02;-1,56236278859918e-03;1,78684083108172e-02
ENSG00000163873;GRIK3;2,45960612886714e-02;-9,31854887307485e-03;-4,38776727543297e-03;-4,98510710053685e-03
ENSG00000114200;BCHE;2,45238818547565e-02;-5,66569689119234e-03;-9,24856585348262e-04;-1,32897651558774e-02
